002  00424 |Loss: 1.150 | Acc: 58.262% 
002  00425 |Loss: 1.152 | Acc: 58.249% 
002  00426 |Loss: 1.151 | Acc: 58.348% 
002  00427 |Loss: 1.150 | Acc: 58.355% 
002  00428 |Loss: 1.151 | Acc: 58.340% 
002  00429 |Loss: 1.151 | Acc: 58.285% 
002  00430 |Loss: 1.145 | Acc: 58.554% 
002  00431 |Loss: 1.147 | Acc: 58.477% 
002  00432 |Loss: 1.147 | Acc: 58.365% 
002  00433 |Loss: 1.143 | Acc: 58.594% 
002  00434 |Loss: 1.142 | Acc: 58.539% 
002  00435 |Loss: 1.142 | Acc: 58.576% 
002  00436 |Loss: 1.141 | Acc: 58.490% 
002  00437 |Loss: 1.145 | Acc: 58.441% 
002  00438 |Loss: 1.146 | Acc: 58.344% 
002  00439 |Loss: 1.143 | Acc: 58.545% 
002  00440 |Loss: 1.141 | Acc: 58.673% 
002  00441 |Loss: 1.141 | Acc: 58.594% 
002  00442 |Loss: 1.140 | Acc: 58.732% 
002  00443 |Loss: 1.138 | Acc: 58.774% 
002  00444 |Loss: 1.138 | Acc: 58.874% 
002  00445 |Loss: 1.136 | Acc: 58.984% 
002  00446 |Loss: 1.134 | Acc: 58.906% 
002  00447 |Loss: 1.132 | Acc: 58.998% 
002  00448 |Loss: 1.132 | Acc: 58.978% 
002  00449 |Loss: 1.133 | Acc: 58.971% 
002  00450 |Loss: 1.134 | Acc: 58.951% 
002  00451 |Loss: 1.131 | Acc: 59.115% 
002  00452 |Loss: 1.132 | Acc: 59.119% 
002  00453 |Loss: 1.133 | Acc: 59.110% 
002  00454 |Loss: 1.134 | Acc: 59.028% 
002  00455 |Loss: 1.133 | Acc: 59.131% 
002  00456 |Loss: 1.136 | Acc: 59.038% 
002  00457 |Loss: 1.138 | Acc: 59.044% 
002  00458 |Loss: 1.138 | Acc: 58.990% 
002  00459 |Loss: 1.137 | Acc: 59.007% 
002  00460 |Loss: 1.139 | Acc: 58.956% 
002  00461 |Loss: 1.138 | Acc: 58.951% 
002  00462 |Loss: 1.137 | Acc: 58.946% 
002  00463 |Loss: 1.135 | Acc: 59.060% 
002  00464 |Loss: 1.133 | Acc: 59.150% 
002  00465 |Loss: 1.132 | Acc: 59.185% 
002  00466 |Loss: 1.133 | Acc: 59.188% 
002  00467 |Loss: 1.135 | Acc: 59.159% 
002  00468 |Loss: 1.133 | Acc: 59.192% 
002  00469 |Loss: 1.132 | Acc: 59.275% 
002  00470 |Loss: 1.132 | Acc: 59.316% 
002  00471 |Loss: 1.131 | Acc: 59.395% 
002  00472 |Loss: 1.130 | Acc: 59.423% 
002  00473 |Loss: 1.130 | Acc: 59.461% 
